num_passengers,purchase_lead,length_of_stay,flight_hour,flight_day,route,booking_origin,flight_duration,sales_channel_Internet,sales_channel_Mobile,trip_type_CircleTrip,trip_type_OneWay,trip_type_RoundTrip,booking_complete,total_service_preferences
1,210,4,8,2,AORMEL,Malaysia,8.83,True,False,False,False,True,0,1
1,54,4,12,5,HNDMEL,Japan,8.83,True,False,False,False,True,0,3
4,96,5,5,1,MELPEN,Malaysia,8.83,True,False,False,False,True,0,1
1,2,31,3,0,MELSGN,Australia,8.83,True,False,False,False,True,0,2
2,1,6,14,2,CMBSYD,Australia,8.58,True,False,False,False,True,0,3
2,171,28,17,1,AKLKUL,Spain,8.83,True,False,False,False,True,0,1
1,18,4,11,3,PVGSUB,China,5.33,True,False,False,False,True,0,0
1,8,4,15,3,KIXPER,Japan,7.0,False,True,False,False,True,0,0
1,2,5,8,0,CMBSYD,Australia,8.58,True,False,False,False,True,0,1
1,1,61,3,0,JHBKTM,Malaysia,4.75,True,False,False,False,True,0,1
1,79,22,2,6,HYDMEL,Australia,8.83,True,False,False,False,True,0,3
2,83,33,6,4,MNLSYD,Australia,8.58,True,False,False,False,True,0,1
2,123,20,15,1,HYDSYD,United States,8.58,True,False,False,False,True,0,1
1,16,23,5,5,CMBSYD,Australia,8.58,True,False,False,False,True,0,1
1,19,5,23,0,ICNSYD,Australia,8.58,True,False,False,False,True,0,0
1,9,21,2,6,KTMMFM,Macau,4.75,True,False,False,False,True,0,2
2,164,23,13,4,MYYPER,Australia,5.62,True,False,False,False,True,0,1
1,14,6,7,3,DMKPER,Australia,5.62,True,False,False,False,True,0,0
1,243,4,23,3,CGKKIX,Indonesia,7.0,True,False,False,False,True,0,0
2,21,5,10,6,DPSMEL,Australia,8.83,True,False,False,False,True,0,0
2,36,20,0,5,MAAMEL,Australia,8.83,True,False,False,False,True,0,1
1,23,5,14,3,CNXKIX,Thailand,7.0,False,True,False,False,True,0,2
1,71,39,0,6,HYDMEL,Australia,8.83,True,False,False,False,True,0,2
1,27,5,5,6,DMKPER,Australia,5.62,True,False,False,False,True,0,0
1,52,25,10,5,DELMEL,India,8.83,True,False,False,False,True,0,2
1,17,5,4,4,HNDSIN,Japan,7.57,True,False,False,False,True,0,1
1,59,5,14,6,CGKKTM,Indonesia,4.75,True,False,False,False,True,0,0
1,77,5,5,0,PVGTWU,China,5.33,True,False,False,False,True,0,0
1,67,6,7,4,BKIPEK,Singapore,6.42,True,False,False,False,True,0,1
1,58,17,8,0,MELSGN,Australia,8.83,True,False,False,False,True,0,1
3,48,5,8,0,PENSYD,Australia,8.58,True,False,False,False,True,0,1
2,127,28,15,1,CMBMEL,Sri Lanka,8.83,True,False,False,False,True,0,3
2,37,6,10,2,HKTWUH,China,5.13,False,True,False,False,True,0,2
1,61,4,20,6,HKTSYD,Australia,8.58,True,False,False,False,True,0,1
1,49,20,14,2,CTUPER,Australia,5.62,True,False,False,False,True,0,3
1,29,3,3,0,DPSICN,South Korea,6.62,True,False,False,False,True,0,1
1,123,5,14,6,REPTPE,Taiwan,4.67,True,False,False,False,True,0,0
1,11,4,7,5,CGKPEK,Indonesia,6.42,True,False,False,False,True,0,1
4,308,5,15,4,DPSICN,China,6.62,True,False,False,False,True,0,1
1,12,4,14,6,HKTICN,South Korea,6.62,True,False,False,False,True,0,2
1,91,6,8,6,KBVPER,Australia,5.62,True,False,False,False,True,0,0
1,141,4,6,1,PERSBW,Australia,5.62,True,False,False,False,True,0,0
1,77,3,1,4,SINSYD,Australia,8.58,True,False,False,False,True,0,2
1,128,97,9,1,CNXOOL,Australia,8.83,True,False,False,False,True,0,0
2,10,21,6,4,CGKPER,Australia,5.62,True,False,False,False,True,0,3
1,72,34,13,2,COKMEL,Australia,8.83,False,True,False,False,True,0,2
2,83,5,5,4,CGKHND,Indonesia,7.57,True,False,False,False,True,0,0
1,39,31,5,1,HYDSYD,Australia,8.58,True,False,False,False,True,0,2
1,7,6,1,2,KCHXIY,Malaysia,5.0,True,False,False,False,True,0,2
2,82,6,10,1,ICNSIN,South Korea,6.62,True,False,False,False,True,0,1
2,87,6,13,0,DELMRU,India,7.42,True,False,False,False,True,0,1
1,24,6,5,6,ICNOOL,Australia,8.83,True,False,False,False,True,0,1
1,60,6,12,3,DMKKIX,Japan,7.0,False,True,False,False,True,0,3
1,39,23,7,4,DELDPS,India,5.52,True,False,False,False,True,0,1
2,2,4,9,6,HKTKIX,Japan,7.0,True,False,False,False,True,0,2
1,1,20,11,0,KTMMFM,Macau,4.75,True,False,False,False,True,0,0
1,54,21,23,5,MELSGN,Australia,8.83,True,False,False,False,True,0,0
1,31,90,1,0,DELSYD,Australia,8.58,True,False,False,False,True,0,3
3,66,6,16,1,LGKPVG,China,5.33,True,False,False,False,True,0,0
1,5,4,4,5,KCHPVG,Malaysia,5.33,True,False,False,False,True,0,3
1,259,21,18,6,PERSGN,Australia,5.62,True,False,False,False,True,0,1
2,10,5,6,4,HKTKIX,Japan,7.0,True,False,False,False,True,0,2
3,221,27,1,2,MELRGN,Australia,8.83,True,False,False,False,True,0,3
1,40,29,8,6,IKAPER,Australia,8.15,True,False,False,False,True,0,2
1,33,154,2,1,PERPNH,Australia,5.62,True,False,False,False,True,0,2
1,4,2,10,4,ICNSIN,South Korea,6.62,True,False,False,False,True,0,1
2,251,6,16,3,DMKICN,South Korea,6.62,True,False,False,False,True,0,0
1,50,31,9,5,MELPEN,Australia,8.83,True,False,False,False,True,0,1
1,54,30,23,0,HNDTRZ,Japan,7.57,True,False,False,False,True,0,1
1,82,4,10,0,DMKPER,Australia,5.62,True,False,False,False,True,0,1
1,11,37,9,5,MELTPE,Australia,8.83,True,False,False,False,True,0,1
1,199,4,14,5,DPSPUS,South Korea,6.33,True,False,False,False,True,0,2
1,18,5,4,1,DPSTPE,Taiwan,4.67,True,False,False,False,True,0,0
1,96,138,16,4,CRKMEL,Philippines,8.83,True,False,True,False,False,0,2
1,24,26,8,4,DMKOOL,Australia,8.83,True,False,False,False,True,0,3
2,38,72,2,0,MELMNL,Philippines,8.83,True,False,False,False,True,0,3
2,63,38,12,6,GOIPER,Australia,5.62,True,False,False,False,True,0,0
1,53,23,2,6,PVGRGN,China,5.33,True,False,False,False,True,0,0
2,205,93,9,1,AKLKUL,New Zealand,8.83,True,False,False,False,True,0,3
1,17,6,1,2,DPSKIX,Japan,7.0,True,False,False,False,True,0,0
2,10,23,7,6,DACMEL,Tanzania,8.83,True,False,False,False,True,0,1
1,8,58,3,4,DMKOOL,Australia,8.83,True,False,False,False,True,0,3
1,72,4,15,6,PERTRZ,India,5.62,True,False,False,False,True,0,1
1,4,4,4,6,PERSUB,Australia,5.62,True,False,False,False,True,0,2
2,294,6,7,6,MELPVG,Malaysia,8.83,True,False,False,True,False,0,2
1,17,211,4,5,OOLSGN,Australia,8.83,True,False,False,False,True,0,2
1,125,17,4,0,CMBMEL,Australia,8.83,True,False,False,False,True,0,3
3,54,3,9,1,HKTICN,South Korea,6.62,True,False,False,False,True,0,1
3,142,30,23,1,DMKOOL,Australia,8.83,True,False,False,False,True,0,2
1,165,35,5,2,MELTRZ,Australia,8.83,True,False,False,False,True,0,0
1,2,25,3,2,HNDRGN,Japan,7.57,False,True,False,False,True,0,2
1,23,83,5,0,CMBMEL,Australia,8.83,True,False,False,False,True,0,1
2,2,5,1,5,CGKICN,South Korea,6.62,True,False,False,False,True,0,0
1,6,24,8,1,KNOPUS,South Korea,6.33,True,False,False,False,True,0,1
1,122,32,13,0,MELMRU,Australia,8.83,True,False,False,False,True,0,3
2,61,6,4,4,CTSDMK,Thailand,8.67,False,True,False,False,True,0,2
1,81,40,5,6,HNDPEN,Japan,7.57,True,False,False,False,True,0,3
1,82,3,18,2,HNDSIN,Japan,7.57,True,False,False,False,True,0,3
1,75,4,1,6,DPSHND,Japan,7.57,True,False,False,False,True,0,0
2,63,6,6,6,HKTPEK,China,6.42,True,False,False,False,True,0,1
1,17,65,15,2,MYYPER,Malaysia,5.62,True,False,False,False,True,0,1
1,8,4,10,6,SGNSYD,Australia,8.58,True,False,False,False,True,0,1
2,313,5,2,6,BKIKIX,Malaysia,7.0,True,False,False,False,True,0,0
2,20,6,13,0,DMKMEL,Australia,8.83,True,False,False,False,True,0,2
1,116,6,13,6,DPSICN,South Korea,6.62,True,False,False,False,True,0,0
1,19,6,7,0,ICNPER,Australia,6.62,True,False,False,False,True,0,0
1,18,5,12,0,PERPNH,Australia,5.62,True,False,False,False,True,0,1
1,89,27,12,3,CCUSYD,Australia,8.58,True,False,False,False,True,0,3
1,62,6,16,1,PEKREP,China,6.42,False,True,False,False,True,0,1
2,9,89,9,4,RGNTPE,Myanmar (Burma),4.67,True,False,False,False,True,0,1
1,238,29,4,4,SGNSYD,Australia,8.58,True,False,False,False,True,0,2
2,100,6,15,4,MLETPE,Taiwan,4.67,True,False,False,False,True,0,0
3,106,24,23,6,DELPER,Australia,5.62,True,False,False,False,True,0,3
1,16,20,9,1,KTMMFM,Macau,4.75,True,False,False,False,True,0,2
1,52,2,6,4,KCHPER,Australia,5.62,True,False,False,False,True,0,1
3,121,30,13,4,JHBXIY,China,5.0,True,False,False,False,True,0,3
1,158,75,12,4,PERPUS,Australia,6.33,True,False,True,False,False,0,1
2,101,6,4,3,KIXLGK,Japan,7.0,True,False,False,False,True,0,1
2,324,5,4,1,HKTICN,South Korea,6.62,True,False,False,False,True,0,3
2,15,6,8,1,CGKKIX,Japan,7.0,True,False,False,False,True,0,1
4,282,29,7,6,MELSGN,Australia,8.83,True,False,False,False,True,0,1
7,25,6,3,6,DPSPEK,China,6.42,True,False,False,False,True,0,2
2,95,6,3,4,MRUSZX,China,7.42,True,False,False,False,True,0,0
2,33,4,1,0,ICNSYD,Australia,8.58,True,False,False,False,True,0,3
1,33,5,10,5,DMKMEL,United States,8.83,True,False,False,False,True,0,0
1,60,5,23,0,BKIHND,Japan,7.57,True,False,False,False,True,0,0
1,203,55,11,3,DMKOOL,Australia,8.83,True,False,False,False,True,0,3
3,110,29,12,0,IKAPER,Australia,8.15,True,False,False,False,True,0,3
1,52,50,7,4,AKLTPE,Taiwan,4.67,True,False,False,False,True,0,2
3,150,6,14,5,HNDPEN,Japan,7.57,True,False,False,False,True,0,2
1,33,27,11,6,CGKPEK,Spain,6.42,True,False,False,False,True,0,2
